[19-03-04 18:04:21]: {LB_time: 4.10651}
[19-03-04 18:05:43]: {"step":15,"step_time": 4.5514,"total_time": 96.7162,"lb_cost": 3.82178,"load_imbalance": 6.20999,"skewness": 0.719193,"loads": [3.17813, 2.95108, 2.96034, 2.98228, 2.93186, 3.15472, 2.92176, 3.02264, 3.21007, 3.02531, 2.95831, 3.01626, 2.98875, 3.09265, 3.09122, 3.05449, 2.97429, 2.92401, 3.07902, 2.94409, 3.02089, 2.98508, 2.93169, 3.11972, 3.00252, 2.9961, 2.99057, 3.05014, 3.0165, 2.92719, 3.04854, 3.16599],"tloads":[862498, 857311, 855299, 857293, 855297, 857289, 855287, 857281, 855277, 857294, 855287, 857265, 855275, 855286, 855284, 855296, 855284, 855283, 855291, 855280, 855291, 855292, 855285, 855300, 855301, 855276, 855277, 855273, 855308, 855298, 855287, 853301],"slopes":[216.205, 4.29632, 4.30111, 5.06713, 12.9286, 11.4286, 12.3212, 4.36906, 10.75, 13.0286, 11.1821, 130.022, 4.55335, 10.3714, 10.1, 11.1846, 9.52527, 4.26493, 9.8022, 4.28304, 10.4848, 10.1071, 4.27196, 10.8929, 11.9048, 9.3, 4.33142, 9.7011, 5.08603, 11.167, 10.7143, -109.901]}
[19-03-04 18:05:48]: {"step":16,"step_time": 4.54835,"total_time": 96.7201,"lb_cost": 3.82178,"load_imbalance": 6.11235,"skewness": 0.705581,"loads": [3.18146, 2.95086, 2.95941, 2.9942, 2.93142, 3.15519, 2.92056, 3.02006, 3.20725, 3.02544, 2.95879, 3.01653, 2.9886, 3.09074, 3.0904, 3.0535, 2.97416, 2.92362, 3.07889, 2.94397, 3.02037, 2.98608, 2.93081, 3.11958, 3.00284, 3.00137, 2.98985, 3.04934, 3.01682, 2.92728, 3.04788, 3.16282],"tloads":[863595, 857326, 855318, 857306, 855308, 857297, 855297, 857298, 855295, 857310, 855303, 857274, 855289, 855295, 855294, 855309, 855298, 855295, 855298, 855294, 855299, 855299, 855303, 855314, 855310, 855285, 855290, 855280, 855320, 855306, 855296, 853317],"slopes":[242.658, 4.29632, 4.30111, 155.736, 10.5059, 4.49626, 12.3212, 4.3638, 10.75, 4.36691, 11.1821, 170.743, 9.69853, 10.3714, 10.1, 11.1846, 9.52527, 4.26515, 9.73626, 4.28304, 10.4848, 10.1071, 4.27307, 4.46036, 11.9048, 9.25147, 4.33142, 9.48676, 5.08603, 11.167, 4.3948, 4.51418]}
[19-03-04 18:05:53]: {"step":17,"step_time": 4.54858,"total_time": 96.7073,"lb_cost": 3.82178,"load_imbalance": 6.12309,"skewness": 0.729444,"loads": [3.18503, 2.95214, 2.96147, 2.98286, 2.93188, 3.15547, 2.9203, 3.02188, 3.20715, 3.02478, 2.9588, 3.01596, 2.9852, 3.08645, 3.09046, 3.05459, 2.97422, 2.92358, 3.07869, 2.94394, 3.01996, 2.98375, 2.93185, 3.11962, 3.00191, 3.00144, 2.99051, 3.04971, 3.01655, 2.92761, 3.04678, 3.16271],"tloads":[864668, 857334, 855329, 857318, 855314, 857312, 855314, 857317, 855309, 857324, 855314, 857285, 855304, 855308, 855300, 855315, 855313, 855309, 855311, 855309, 855311, 855309, 855320, 855321, 855326, 855302, 855301, 855294, 855335, 855318, 855301, 853324],"slopes":[273.792, 4.29272, 10.5187, 4.33062, 4.27241, 4.49626, 10.6821, 4.3638, 10.75, 4.36691, 11.1821, 9.43636, 9.69853, 10.1964, 4.43482, 11.1309, 9.52527, 4.26515, 10.2436, 4.28304, 10.4848, 4.32474, 4.27307, 4.46036, 10.3029, 9.25147, 4.33142, 9.48676, 5.08603, 4.26807, 4.38931, 4.50598]}
[19-03-04 18:05:57]: {"step":18,"step_time": 4.54815,"total_time": 96.7355,"lb_cost": 3.82178,"load_imbalance": 6.07822,"skewness": 0.721741,"loads": [3.18993, 2.9509, 2.96025, 2.99502, 2.9321, 3.15552, 2.92011, 3.02224, 3.20673, 3.02579, 2.95928, 3.01685, 2.98887, 3.09214, 3.09095, 3.05469, 2.97459, 2.9241, 3.07833, 2.94485, 3.02173, 2.98606, 2.93156, 3.12098, 3.00241, 3.00003, 2.98982, 3.04959, 3.01133, 2.92742, 3.04859, 3.1627],"tloads":[865741, 857344, 855344, 857333, 855327, 857324, 855325, 857325, 855324, 857333, 855333, 857296, 855319, 855320, 855313, 855331, 855327, 855324, 855324, 855320, 855323, 855321, 855335, 855337, 855332, 855316, 855314, 855304, 855350, 855330, 855310, 853336],"slopes":[307.219, 172.925, 10.5187, 167.864, 4.2732, 4.50134, 10.6821, 4.3638, 10.1044, 4.36647, 10.9338, 4.35742, 9.68421, 10.1964, 4.43482, 11.1309, 9.52527, 4.26515, 10.2436, 4.28304, 10.4848, 4.32654, 10.5029, 4.46093, 4.34419, 9.25147, 9.61579, 9.48676, 11.4583, 11.0074, 4.38971, -146.607]}
[19-03-04 18:06:02]: {"step":19,"step_time": 4.55304,"total_time": 96.7261,"lb_cost": 3.82178,"load_imbalance": 6.25565,"skewness": 0.767371,"loads": [3.19647, 2.9508, 2.95928, 2.98254, 2.93259, 3.15547, 2.92097, 3.02054, 3.21178, 3.02537, 2.95876, 3.01679, 2.98641, 3.08741, 3.09105, 3.05395, 2.97445, 2.92315, 3.07912, 2.94458, 3.02012, 2.98377, 2.93135, 3.11964, 3.00213, 3.00078, 2.99105, 3.04995, 3.01669, 2.92746, 3.04708, 3.16463],"tloads":[866861, 857356, 855356, 857340, 855338, 857339, 855332, 857339, 855332, 857347, 855339, 857303, 855328, 855329, 855322, 855345, 855335, 855334, 855334, 855335, 855335, 855328, 855344, 855348, 855338, 855328, 855326, 855314, 855358, 855340, 855323, 853349],"slopes":[341.96, 170.423, 4.30111, 167.864, 4.2732, 4.50134, 10.6821, 4.3638, 10.0815, 4.36647, 10.9338, 4.35742, 9.68421, 10.1154, 4.43482, 4.39593, 9.79902, 4.26536, 10.3544, 9.93956, 10.4286, 4.32654, 10.424, 4.46093, 11.7667, 9.56044, 9.63759, 4.39087, 4.35829, 11.0074, 4.38971, -134.365]}
[19-03-04 18:06:07]: {"step":20,"step_time": 4.54828,"total_time": 96.7333,"lb_cost": 3.82178,"load_imbalance": 6.09084,"skewness": 0.744886,"loads": [3.19696, 2.95057, 2.9596, 2.98316, 2.93229, 3.15473, 2.91936, 3.02245, 3.20704, 3.02528, 2.95916, 3.01694, 2.98538, 3.08936, 3.09135, 3.05375, 2.97458, 2.92343, 3.07933, 2.94482, 3.01837, 2.98741, 2.93188, 3.12004, 3.00672, 3.00158, 2.9943, 3.05014, 3.01189, 2.92798, 3.04841, 3.16508],"tloads":[867936, 857369, 855365, 857349, 855354, 857353, 855348, 857355, 855340, 857359, 855357, 857315, 855339, 855335, 855338, 855356, 855346, 855341, 855345, 855352, 855350, 855336, 855352, 855357, 855344, 855340, 855340, 855325, 855371, 855346, 855334, 853357],"slopes":[376.362, 170.423, 4.30111, 167.864, 4.2732, 4.50134, 10.6821, 4.3638, 10.0815, 4.36647, 10.9338, 4.35742, 9.68421, 10.1154, 4.43482, 4.39593, 9.79902, 4.26536, 10.3544, 9.93956, 10.4286, 4.32654, 10.424, 4.46093, 11.7667, 9.56044, 9.63759, 4.39087, 4.35829, 11.0074, 4.38971, -134.365]}
[19-03-04 18:06:12]: {"step":21,"step_time": 4.55097,"total_time": 96.7285,"lb_cost": 3.82178,"load_imbalance": 6.15402,"skewness": 0.770234,"loads": [3.19945, 2.95234, 2.95917, 2.98251, 2.93294, 3.15534, 2.91966, 3.0206, 3.20879, 3.02534, 2.95889, 3.0163, 2.98546, 3.08841, 3.09169, 3.05394, 2.97466, 2.92404, 3.07911, 2.94512, 3.01723, 2.98541, 2.93284, 3.12097, 3.00249, 2.99661, 2.99446, 3.05018, 3.01528, 2.92731, 3.04738, 3.16455],"tloads":[869056, 857384, 855376, 857359, 855368, 857364, 855355, 857369, 855353, 857365, 855370, 857332, 855352, 855346, 855352, 855366, 855355, 855350, 855352, 855362, 855364, 855348, 855361, 855370, 855359, 855353, 855357, 855334, 855381, 855362, 855348, 853366],"slopes":[410.287, 154.552, 10.7639, 141.185, 4.2732, 172.429, 4.26294, 164.381, 4.54802, 4.36691, 4.29962, 4.35813, 4.32993, 4.43344, 4.43224, 4.39598, 9.79902, 4.26536, 4.41889, 4.28568, 4.36283, 4.32654, 4.27317, 11.3331, 11.7667, 9.56044, 9.63759, 4.39087, 4.35812, 10.8053, 4.38971, -134.365]}
[19-03-04 18:06:16]: {"step":22,"step_time": 4.55092,"total_time": 96.7388,"lb_cost": 3.82178,"load_imbalance": 6.16725,"skewness": 0.768215,"loads": [3.20311, 2.95175, 2.95991, 2.98369, 2.93211, 3.15581, 2.91944, 3.02278, 3.20953, 3.02543, 2.95946, 3.01881, 2.98573, 3.08749, 3.09149, 3.05406, 2.97464, 2.92378, 3.07849, 2.94379, 3.01734, 2.9879, 2.93204, 3.12017, 3.00202, 2.99891, 2.9941, 3.05003, 3.01674, 2.92727, 3.04807, 3.16291],"tloads":[870102, 857397, 855387, 857374, 855384, 857374, 855364, 857381, 855370, 857371, 855378, 857344, 855359, 855364, 855360, 855378, 855367, 855359, 855362, 855371, 855377, 855362, 855378, 855378, 855368, 855369, 855370, 855347, 855397, 855377, 855354, 853380],"slopes":[442.565, 4.29183, 11.0536, 141.185, 10.5623, 4.4968, 10.5456, 164.381, 4.54802, 153.535, 10.8647, 163.361, 4.32993, 4.43344, 4.43224, 4.39598, 4.31554, 10.4283, 4.41993, 10.5539, 10.4881, 10.4161, 4.27317, 11.3331, 4.34323, 4.34235, 9.76962, 4.39087, 11.7187, 4.26912, 10.2035, -148.333]}
[19-03-04 18:06:21]: {"step":23,"step_time": 4.55051,"total_time": 96.7416,"lb_cost": 3.82178,"load_imbalance": 6.1549,"skewness": 0.78705,"loads": [3.20739, 2.95142, 2.96037, 2.98279, 2.93239, 3.15561, 2.9205, 3.02084, 3.20925, 3.02572, 2.95979, 3.01694, 2.99016, 3.08508, 3.09173, 3.05365, 2.97444, 2.92422, 3.07905, 2.94426, 3.01756, 2.98718, 2.93197, 3.12004, 3.00353, 2.99681, 2.99378, 3.05026, 3.01709, 2.92744, 3.04778, 3.16255],"tloads":[871229, 857406, 855397, 857384, 855395, 857388, 855383, 857402, 855378, 857391, 855399, 857354, 855366, 855376, 855368, 855386, 855376, 855372, 855371, 855379, 855396, 855371, 855386, 855389, 855379, 855374, 855383, 855361, 855407, 855384, 855370, 853391],"slopes":[473.795, 4.29183, 11.0536, 141.185, 4.27682, 4.4996, 4.26163, 164.381, 4.5469, 129.266, 10.8647, 4.35806, 4.32993, 4.4305, 10.1292, 4.39488, 4.31554, 10.4283, 10.677, 10.5539, 10.4881, 10.4161, 11.0023, 4.46226, 4.34784, 9.3, 9.76962, 9.38442, 11.7187, 4.26912, 4.38785, -125.847]}
[19-03-04 18:06:26]: {"step":24,"step_time": 4.55268,"total_time": 96.7443,"lb_cost": 3.82178,"load_imbalance": 6.22041,"skewness": 0.780752,"loads": [3.21132, 2.94943, 2.95932, 2.98359, 2.93239, 3.15588, 2.92045, 3.02272, 3.20776, 3.02581, 2.95894, 3.01865, 2.98593, 3.08773, 3.09136, 3.05407, 2.97465, 2.92352, 3.07837, 2.94351, 3.01755, 2.98802, 2.93153, 3.12004, 3.00803, 2.99746, 2.99358, 3.0501, 3.01634, 2.92679, 3.04731, 3.1622],"tloads":[872327, 857424, 855406, 857395, 855404, 857397, 855397, 857420, 855395, 857401, 855413, 857363, 855379, 855390, 855379, 855394, 855390, 855384, 855389, 855389, 855408, 855381, 855398, 855402, 855389, 855388, 855391, 855371, 855412, 855398, 855382, 853405],"slopes":[503.535, 148.355, 11.0536, 4.33629, 4.27682, 4.4996, 4.26163, 4.36646, 4.5469, 129.266, 11.0062, 4.35806, 4.32651, 4.4305, 10.1292, 4.39488, 4.31554, 10.5714, 10.677, 10.3368, 10.494, 4.32507, 4.27285, 4.46226, 4.34784, 4.33794, 4.33491, 4.39032, 11.7187, 4.26912, 4.38785, -138.156]}
[19-03-04 18:06:31]: {"step":25,"step_time": 4.55534,"total_time": 96.7681,"lb_cost": 3.82178,"load_imbalance": 6.29181,"skewness": 0.768329,"loads": [3.21427, 2.95019, 2.96004, 2.98335, 2.93265, 3.15546, 2.92099, 3.02226, 3.20766, 3.02588, 2.95932, 3.01699, 2.98964, 3.08667, 3.09162, 3.05446, 2.97424, 2.92325, 3.07903, 2.94406, 3.01791, 2.98644, 2.93181, 3.12043, 3.00268, 2.9967, 2.99368, 3.04968, 3.01681, 2.92729, 3.07025, 3.16243],"tloads":[873455, 857433, 855420, 857406, 855414, 857412, 855407, 857432, 855408, 857418, 855426, 857368, 855389, 855403, 855396, 855403, 855398, 855391, 855395, 855397, 855418, 855393, 855410, 855413, 855401, 855399, 855398, 855388, 855427, 855406, 855394, 853413],"slopes":[531.956, 4.29193, 4.30154, 4.32392, 4.27501, 123.876, 10.5383, 164.381, 4.55086, 129.266, 11.0062, 4.35806, 4.32651, 10.5227, 10.1292, 4.39531, 4.31672, 4.26459, 10.677, 4.2857, 10.4286, 10.4229, 11.0583, 11.4161, 4.34784, 4.33794, 4.33491, 4.39222, 4.35735, 4.26912, 4.38988, -138.156]}
[19-03-04 18:06:35]: {"step":26,"step_time": 4.55896,"total_time": 96.7695,"lb_cost": 3.82178,"load_imbalance": 6.40508,"skewness": 0.77786,"loads": [3.21774, 2.94984, 2.95988, 2.98348, 2.93323, 3.15603, 2.92035, 3.02255, 3.20781, 3.02607, 2.95934, 3.01871, 2.99005, 3.08615, 3.09099, 3.05192, 2.97445, 2.92323, 3.07842, 2.94314, 3.01817, 2.98427, 2.93159, 3.11998, 3.00284, 2.99781, 2.99383, 3.04962, 3.01661, 2.92692, 3.07194, 3.16249],"tloads":[874547, 857449, 855432, 857422, 855429, 857422, 855423, 857444, 855423, 857425, 855436, 857376, 855402, 855413, 855407, 855414, 855414, 855406, 855405, 855405, 855425, 855406, 855423, 855422, 855410, 855411, 855410, 855395, 855443, 855419, 855406, 853428],"slopes":[558.752, 4.29345, 4.30154, 4.32392, 4.27501, 123.876, 10.5412, 118.812, 4.55086, 4.36667, 11.0062, 4.35835, 4.32651, 10.5227, 10.1292, 4.39531, 10.7228, 4.26459, 10.8016, 4.2857, 4.3586, 4.32747, 11.0583, 11.415, 4.34456, 4.33794, 4.33491, 4.39222, 4.35735, 4.26872, 4.38952, -138.156]}
[19-03-04 18:06:40]: {"step":27,"step_time": 4.56277,"total_time": 96.792,"lb_cost": 3.82178,"load_imbalance": 6.50857,"skewness": 0.776949,"loads": [3.22162, 2.95105, 2.96045, 2.98328, 2.93325, 3.15616, 2.9209, 3.02267, 3.20763, 3.0259, 2.95963, 3.01719, 2.99108, 3.09285, 3.0939, 3.0548, 2.97438, 2.92363, 3.07889, 2.94407, 3.02552, 2.98268, 2.93188, 3.11929, 3.00282, 2.99593, 2.99412, 3.04993, 3.01645, 2.92748, 3.07022, 3.16241],"tloads":[875640, 857462, 855442, 857437, 855436, 857432, 855440, 857455, 855438, 857442, 855451, 857392, 855417, 855422, 855426, 855422, 855430, 855421, 855419, 855427, 855436, 855420, 855432, 855432, 855422, 855421, 855418, 855403, 855457, 855428, 855415, 853445],"slopes":[583.98, 124.673, 4.30123, 4.32392, 4.27501, 123.876, 10.5412, 118.812, 4.55086, 4.36667, 4.30057, 4.35835, 10.3767, 10.3382, 10.2334, 11.0949, 10.7228, 10.6319, 10.8016, 4.28538, 10.4286, 4.32734, 11.0809, 11.415, 4.34467, 4.33889, 10.3907, 4.39222, 4.35735, 4.26862, 4.38887, 4.50621]}
[19-03-04 18:06:47]: {"step":28,"step_time": 4.56745,"total_time": 96.7901,"lb_cost": 3.82178,"load_imbalance": 6.65448,"skewness": 0.798284,"loads": [3.22597, 2.95071, 2.95986, 2.98374, 2.9324, 3.15708, 2.92095, 3.02377, 3.20786, 3.02589, 2.95953, 3.01915, 2.98937, 3.08713, 3.09142, 3.05506, 2.97395, 2.92365, 3.07862, 2.94377, 3.02349, 2.98398, 2.9321, 3.12026, 3.00271, 2.99774, 2.99328, 3.0494, 3.01697, 2.92705, 3.06986, 3.16337],"tloads":[876708, 857472, 855452, 857449, 855453, 857445, 855452, 857466, 855452, 857455, 855466, 857412, 855429, 855432, 855438, 855436, 855440, 855437, 855435, 855441, 855448, 855431, 855451, 855445, 855428, 855431, 855426, 855416, 855469, 855440, 855430, 853450],"slopes":[607.559, 124.673, 4.30151, 4.32392, 4.27339, 4.49675, 10.4975, 118.812, 10.499, 4.36739, 4.30072, 139.527, 10.3767, 4.43344, 10.2334, 11.0949, 10.7228, 10.6319, 10.8016, 4.28538, 10.7387, 4.32914, 11.0809, 11.415, 4.34467, 4.33889, 10.3907, 4.39222, 4.3576, 10.8803, 4.41125, -113.552]}
[19-03-04 18:06:51]: {"step":29,"step_time": 4.57091,"total_time": 96.7844,"lb_cost": 3.82178,"load_imbalance": 6.78961,"skewness": 0.820156,"loads": [3.22987, 2.95027, 2.96038, 2.98374, 2.93257, 3.15658, 2.92119, 3.02078, 3.20763, 3.02582, 2.95926, 3.01706, 2.9895, 3.08708, 3.09127, 3.05187, 2.97383, 2.92369, 3.07896, 2.94389, 3.02324, 2.9829, 2.93244, 3.11985, 3.00238, 2.99645, 2.99404, 3.05028, 3.01716, 2.92755, 3.07099, 3.16189],"tloads":[877767, 857483, 855461, 857458, 855471, 857457, 855467, 857470, 855460, 857465, 855478, 857427, 855439, 855448, 855452, 855455, 855454, 855448, 855452, 855459, 855458, 855447, 855461, 855462, 855445, 855443, 855435, 855428, 855484, 855451, 855439, 853461],"slopes":[629.549, 4.29113, 4.30151, 4.32455, 10.5652, 4.49675, 4.26194, 4.36105, 11.0932, 4.36707, 4.30021, 122.225, 10.3767, 4.42725, 4.43263, 11.0949, 10.7228, 4.26533, 10.8016, 4.28538, 10.7387, 4.32914, 11.1829, 11.4161, 4.34328, 4.33889, 10.3907, 4.39222, 4.35801, 10.8803, 4.41125, -143.691]}
[19-03-04 18:06:56]: {"step":30,"step_time": 4.57483,"total_time": 96.8065,"lb_cost": 3.82178,"load_imbalance": 6.91532,"skewness": 0.826104,"loads": [3.23441, 2.95015, 2.95965, 2.98377, 2.93319, 3.15634, 2.92108, 3.02458, 3.20897, 3.02572, 2.95992, 3.01949, 2.98968, 3.0871, 3.09205, 3.05494, 2.9748, 2.92414, 3.07833, 2.94348, 3.02342, 2.98414, 2.93181, 3.12054, 3.00239, 3.00053, 2.99383, 3.0505, 3.01662, 2.92758, 3.07054, 3.16281],"tloads":[878835, 857495, 855473, 857470, 855483, 857472, 855483, 857483, 855477, 857483, 855495, 857444, 855453, 855457, 855464, 855471, 855458, 855460, 855465, 855471, 855468, 855459, 855472, 855477, 855461, 855455, 855445, 855443, 855496, 855465, 855448, 853471],"slopes":[650.121, 4.29113, 4.30151, 4.32483, 4.27432, 4.49675, 10.5122, 147.136, 11.0932, 4.36707, 4.30021, 122.225, 10.3946, 4.42725, 4.43263, 11.0949, 4.31519, 10.7984, 10.7985, 4.28525, 4.36486, 4.32914, 11.1829, 11.3908, 4.34328, 10.6103, 10.3907, 4.39222, 4.35301, 10.8803, 4.41125, -125.847]}
[19-03-04 18:07:01]: {"step":31,"step_time": 4.57861,"total_time": 96.8117,"lb_cost": 3.82178,"load_imbalance": 7.01257,"skewness": 0.837433,"loads": [3.23752, 2.95092, 2.95935, 2.98447, 2.93255, 3.15667, 2.92084, 3.024, 3.21017, 3.02619, 2.96012, 3.01707, 2.99067, 3.09188, 3.09211, 3.0549, 2.97408, 2.92344, 3.07887, 2.94428, 3.02321, 2.98351, 2.9325, 3.12089, 3.00357, 2.99639, 2.99434, 3.05004, 3.01737, 2.92722, 3.06971, 3.16291],"tloads":[879905, 857507, 855482, 857484, 855496, 857488, 855495, 857501, 855491, 857493, 855501, 857465, 855464, 855469, 855479, 855490, 855471, 855475, 855470, 855485, 855484, 855472, 855489, 855496, 855479, 855467, 855454, 855458, 855508, 855473, 855456, 853482],"slopes":[669.387, 4.29119, 11.2578, 108.381, 4.27432, 135.287, 10.5122, 147.136, 11.0932, 4.36667, 4.30021, 122.225, 10.3946, 4.42725, 4.43263, 11.0156, 4.31519, 10.7984, 10.7985, 4.28525, 4.36486, 10.6911, 4.27279, 4.46077, 10.6535, 4.34083, 10.3907, 9.85468, 4.35301, 10.8803, 4.41125, 4.50474]}
[19-03-04 18:07:06]: {"step":32,"step_time": 4.58253,"total_time": 96.8183,"lb_cost": 3.82178,"load_imbalance": 7.13111,"skewness": 0.857755,"loads": [3.24133, 2.95049, 2.95977, 2.98395, 2.93305, 3.15746, 2.92095, 3.02325, 3.21041, 3.02595, 2.9595, 3.01959, 2.98984, 3.08907, 3.09222, 3.05177, 2.97444, 2.92452, 3.07934, 2.94343, 3.02327, 2.98794, 2.93291, 3.12038, 3.0026, 2.99836, 2.99384, 3.04969, 3.0173, 2.92788, 3.0713, 3.16251],"tloads":[880972, 857516, 855500, 857502, 855508, 857498, 855505, 857516, 855498, 857505, 855508, 857477, 855472, 855484, 855492, 855499, 855491, 855492, 855480, 855503, 855493, 855483, 855501, 855511, 855489, 855478, 855463, 855469, 855521, 855484, 855466, 853494],"slopes":[687.428, 4.29119, 4.30148, 4.32491, 4.27429, 95.9468, 11.1447, 4.36498, 11.0932, 4.36715, 4.30027, 4.35806, 4.32753, 10.6856, 4.43263, 11.0156, 4.31519, 10.7984, 10.7985, 4.2842, 4.36486, 10.6911, 4.27279, 4.46077, 10.4044, 4.34083, 4.33498, 9.78736, 11.7503, 4.26825, 4.41302, 4.50474]}
[19-03-04 18:07:10]: {"step":33,"step_time": 4.58497,"total_time": 96.8156,"lb_cost": 3.82178,"load_imbalance": 7.21911,"skewness": 0.864298,"loads": [3.2439, 2.95104, 2.96059, 2.98446, 2.9333, 3.15679, 2.92129, 3.02122, 3.20826, 3.02635, 2.95979, 3.01711, 2.98943, 3.08767, 3.09459, 3.05516, 2.97453, 2.9236, 3.07951, 2.94448, 3.0237, 2.98341, 2.93255, 3.1213, 3.00301, 2.99655, 2.99452, 3.04898, 3.01863, 2.92767, 3.06973, 3.16244],"tloads":[882006, 857530, 855509, 857514, 855518, 857510, 855516, 857530, 855507, 857517, 855515, 857486, 855481, 855499, 855504, 855517, 855505, 855495, 855494, 855512, 855505, 855491, 855511, 855525, 855499, 855495, 855474, 855477, 855535, 855492, 855479, 853503],"slopes":[704.185, 4.29119, 4.30043, 4.32491, 11.0601, 95.9468, 11.1447, 4.36498, 11.0932, 4.36715, 4.30096, 4.35822, 4.33212, 4.42725, 9.96104, 4.39531, 10.7403, 10.7984, 4.41984, 4.2842, 11.1894, 10.5354, 10.5263, 11.3894, 10.5682, 4.34083, 4.33498, 9.78736, 11.77, 4.26806, 4.41302, 4.50358]}
[19-03-04 18:07:15]: {"step":34,"step_time": 4.58948,"total_time": 96.8217,"lb_cost": 3.82178,"load_imbalance": 7.3616,"skewness": 0.893939,"loads": [3.24841, 2.95115, 2.95982, 2.98395, 2.93325, 3.15747, 2.92289, 3.02153, 3.21013, 3.02636, 2.96011, 3.01932, 2.98939, 3.08785, 3.09172, 3.05211, 2.97448, 2.92373, 3.07941, 2.94374, 3.02416, 2.98419, 2.93296, 3.12035, 3.00348, 2.99763, 2.99441, 3.04899, 3.0167, 2.92761, 3.07023, 3.16414],"tloads":[883024, 857538, 855522, 857528, 855530, 857526, 855526, 857536, 855526, 857530, 855526, 857501, 855485, 855515, 855517, 855531, 855518, 855507, 855504, 855527, 855514, 855500, 855522, 855543, 855512, 855509, 855481, 855489, 855547, 855509, 855491, 853511],"slopes":[719.707, 105.032, 4.30043, 4.32426, 11.0601, 95.9468, 11.1447, 82.8844, 11.0932, 4.3664, 4.3006, 4.35822, 4.33212, 10.9723, 4.43237, 4.39588, 10.9844, 10.8516, 4.41984, 4.28499, 11.1894, 10.5354, 11.3935, 11.3894, 10.5682, 4.34083, 4.33498, 4.3908, 4.35834, 10.9104, 10.4039, 4.50358]}
[19-03-04 18:07:20]: {"step":35,"step_time": 4.59351,"total_time": 96.8236,"lb_cost": 3.82178,"load_imbalance": 7.48814,"skewness": 0.899944,"loads": [3.25231, 2.95126, 2.9595, 2.98471, 2.93317, 3.15663, 2.9213, 3.02173, 3.21, 3.02597, 2.95943, 3.01741, 2.99114, 3.08807, 3.09176, 3.05507, 2.97421, 2.92319, 3.07885, 2.94407, 3.02348, 2.98342, 2.93204, 3.1215, 3.00361, 2.99699, 2.99454, 3.05022, 3.01717, 2.92796, 3.0703, 3.16261],"tloads":[884030, 857548, 855536, 857545, 855548, 857542, 855533, 857547, 855543, 857547, 855535, 857511, 855503, 855521, 855526, 855542, 855527, 855520, 855522, 855535, 855530, 855510, 855535, 855556, 855521, 855526, 855493, 855506, 855558, 855522, 855507, 853524],"slopes":[734.063, 86.0479, 4.30043, 4.32426, 11.0601, 95.9468, 11.2396, 82.8844, 11.3573, 4.3664, 4.3006, 4.35822, 4.33044, 4.42876, 4.43555, 4.39588, 10.9844, 10.8516, 4.41984, 11.0488, 11.1894, 10.5956, 4.27292, 11.3894, 4.34385, 10.4434, 10.5033, 4.3908, 4.35834, 10.9104, 10.4039, -82.0036]}
[19-03-04 18:07:25]: {"step":36,"step_time": 4.59642,"total_time": 96.8351,"lb_cost": 3.82178,"load_imbalance": 7.57343,"skewness": 0.91249,"loads": [3.25528, 2.95248, 2.96004, 2.98432, 2.93355, 3.15686, 2.9218, 3.02073, 3.21027, 3.02681, 2.95982, 3.01909, 2.99005, 3.08769, 3.09219, 3.05535, 2.97479, 2.92369, 3.0791, 2.94474, 3.02351, 2.9846, 2.93201, 3.12069, 3.00393, 2.99724, 2.99401, 3.05032, 3.01738, 2.92812, 3.0723, 3.16239],"tloads":[885067, 857565, 855547, 857561, 855554, 857554, 855543, 857557, 855554, 857562, 855545, 857527, 855517, 855530, 855540, 855550, 855540, 855535, 855537, 855547, 855548, 855519, 855551, 855580, 855539, 855542, 855504, 855515, 855572, 855533, 855519, 853534],"slopes":[747.486, 86.0479, 11.2905, 4.32542, 11.4193, 4.49751, 10.9371, 82.8844, 11.4442, 4.36707, 4.3006, 4.35804, 4.33044, 4.42876, 4.43555, 4.39588, 10.9844, 4.26429, 4.41984, 11.4656, 4.36457, 10.7577, 4.27292, 11.6117, 4.34368, 10.9227, 10.5033, 9.48087, 4.35749, 10.9132, 10.4039, -82.0036]}
[19-03-04 18:07:30]: {"step":37,"step_time": 4.5992,"total_time": 96.8322,"lb_cost": 3.82178,"load_imbalance": 7.67391,"skewness": 0.923431,"loads": [3.25822, 2.95237, 2.95953, 2.984, 2.93315, 3.15711, 2.92089, 3.02333, 3.21011, 3.02623, 2.96025, 3.01709, 2.98972, 3.08824, 3.09247, 3.05528, 2.97461, 2.92355, 3.07955, 2.9438, 3.02403, 2.98356, 2.93288, 3.12062, 3.00315, 2.99621, 2.99448, 3.04973, 3.01711, 2.92776, 3.07114, 3.16201],"tloads":[886120, 857578, 855559, 857572, 855568, 857570, 855562, 857568, 855563, 857571, 855552, 857534, 855535, 855538, 855554, 855559, 855553, 855548, 855547, 855561, 855556, 855530, 855570, 855598, 855550, 855552, 855509, 855535, 855590, 855542, 855527, 853539],"slopes":[760.111, 79.8914, 11.3417, 113.152, 11.4193, 4.49764, 10.9371, 4.36489, 11.4442, 118.334, 4.3006, 4.35804, 4.33044, 11.138, 4.43555, 11.0211, 10.7403, 4.26429, 11.0861, 11.4656, 4.36457, 4.32902, 4.27292, 11.6117, 4.34368, 10.9227, 4.33498, 4.38989, 4.35834, 10.9644, 10.4836, -62.8989]}
