[19-02-20 11:07:31]: {"step":10,"load_imbalance": 24.9793,"skewness": 0.738941,"loads": [0.00389894, 0.00396062, 0.00355735, 0.00380238, 0.00435579, 0.00420425, 0.00388892, 0.00379298, 0.00449069, 0.0039802, 0.00424427, 0.00406248, 0.00395105, 0.00342965, 0.00413424, 0.00418353, 0.00391317, 0.00392316, 0.00399488, 0.00396179, 0.00503626, 0.0044801, 0.00355585, 0.00384623, 0.00388932, 0.00394236, 0.00438874, 0.00392915, 0.00423043, 0.00349786, 0.00368523, 0.00473766],"slopes":[-0.00250561, -0.00246628, -0.00252171, -0.00250961, -0.00249597, -0.00249478, -0.00250752, -0.00251022, -0.00248272, -0.00250081, -0.0024503, -0.00250463, -0.00245979, -0.00252319, -0.00249905, -0.00248843, -0.00249713, -0.00250459, -0.00249494, -0.00250062, -0.00245898, -0.00248331, -0.00251934, -0.00250452, -0.00250545, -0.00249753, -0.00245403, -0.00246302, -0.00245021, -0.00248132, -0.00250643, -0.0024682]}
[19-02-20 11:07:31]: {"step":11,"load_imbalance": 24.4794,"skewness": 0.696805,"loads": [0.00397118, 0.00401532, 0.0036047, 0.00383947, 0.00438241, 0.00422795, 0.00393865, 0.00382374, 0.00452486, 0.00402057, 0.0042866, 0.00408084, 0.00398199, 0.00347484, 0.00418976, 0.00421015, 0.00395817, 0.00395881, 0.00404077, 0.00401438, 0.00505809, 0.00450107, 0.00357149, 0.00385494, 0.00394492, 0.00398142, 0.00442376, 0.00395607, 0.00423898, 0.00354415, 0.0036608, 0.00474788],"slopes":[-0.00211828, -0.00209934, -0.00213392, -0.00212612, -0.00211149, -0.00211079, -0.00212226, -0.00212489, -0.00210066, -0.00211724, -0.00208501, -0.00212055, -0.00209383, -0.002136, -0.00211504, -0.0021057, -0.00211405, -0.00212083, -0.00211188, -0.00211557, -0.0020781, -0.0021017, -0.00213362, -0.00212067, -0.00211976, -0.00211383, -0.00208836, -0.00209703, -0.002085, -0.00211161, -0.00212147, -0.00208672]}
[19-02-20 11:07:31]: {"step":12,"load_imbalance": 24.6703,"skewness": 0.720475,"loads": [0.00391554, 0.00399604, 0.00357044, 0.00382628, 0.0043637, 0.00422431, 0.00393016, 0.00379082, 0.00450166, 0.00398526, 0.00426927, 0.00405994, 0.00396279, 0.00344166, 0.00416689, 0.00417807, 0.00392125, 0.00392228, 0.00402048, 0.0040109, 0.00504025, 0.00450519, 0.00355405, 0.00384468, 0.00390822, 0.00395748, 0.00439504, 0.0039372, 0.00421216, 0.00352435, 0.00367078, 0.00476459],"slopes":[-0.00181618, -0.00180899, -0.00183033, -0.00182468, -0.00181012, -0.00180925, -0.00181973, -0.00182303, -0.00180125, -0.00181678, -0.00179607, -0.00181919, -0.00180425, -0.00183267, -0.00181396, -0.00180602, -0.00181404, -0.00182018, -0.0018114, -0.00181323, -0.00177998, -0.00180163, -0.00183072, -0.00181909, -0.00181798, -0.00181303, -0.00179945, -0.00180732, -0.00179642, -0.00181921, -0.00181853, -0.00178681]}
[19-02-20 11:07:31]: {"step":13,"load_imbalance": 24.0569,"skewness": 0.694671,"loads": [0.00398448, 0.00402188, 0.0036188, 0.00388521, 0.00439054, 0.00424355, 0.00395193, 0.00381957, 0.00454387, 0.00402245, 0.00430133, 0.00411324, 0.00399885, 0.00349548, 0.00419019, 0.00421719, 0.0039587, 0.00396849, 0.00400586, 0.00403641, 0.00505661, 0.00451432, 0.00357757, 0.00387444, 0.00395513, 0.00399244, 0.00443956, 0.00397892, 0.00426512, 0.00356556, 0.00369201, 0.00475368],"slopes":[-0.00157243, -0.00157406, -0.00158582, -0.00158139, -0.0015682, -0.00156746, -0.00157695, -0.00158038, -0.00156038, -0.00157495, -0.00156222, -0.00157627, -0.00156965, -0.0015881, -0.00157223, -0.00156493, -0.00157256, -0.00157787, -0.0015712, -0.00157064, -0.00154126, -0.00156129, -0.00158735, -0.00157671, -0.00157501, -0.00157115, -0.00156517, -0.00157239, -0.00156218, -0.00158225, -0.00157555, -0.00154756]}
[19-02-20 11:07:31]: {"step":14,"load_imbalance": 24.5992,"skewness": 0.719079,"loads": [0.00389051, 0.00397811, 0.0035621, 0.00382785, 0.00436469, 0.00423348, 0.00390059, 0.00378554, 0.00449287, 0.00399972, 0.00424444, 0.00406982, 0.00394952, 0.00344469, 0.00416652, 0.00418303, 0.003922, 0.00393232, 0.00397634, 0.00399365, 0.0050296, 0.00449262, 0.00354992, 0.00383942, 0.00391511, 0.00394733, 0.00439824, 0.00393736, 0.00421006, 0.00352924, 0.00366467, 0.00474053],"slopes":[-0.00137703, -0.0013831, -0.00138866, -0.00138515, -0.00137239, -0.00137137, -0.00138101, -0.001384, -0.00136608, -0.00137895, -0.00137258, -0.00138004, -0.00137915, -0.0013907, -0.00137638, -0.00136995, -0.00137721, -0.00138183, -0.00137652, -0.00137477, -0.00134824, -0.00136657, -0.00139017, -0.00138062, -0.0013787, -0.00137578, -0.00137479, -0.00138141, -0.00137225, -0.00138959, -0.00137891, -0.00135368]}
[19-02-20 11:07:31]: {"step":15,"load_imbalance": 24.1522,"skewness": 0.643017,"loads": [0.00397511, 0.00403111, 0.00360144, 0.00388326, 0.00440075, 0.00425497, 0.00392973, 0.00383668, 0.00454711, 0.00402277, 0.00430646, 0.00413827, 0.00400141, 0.0034832, 0.00417264, 0.00420877, 0.00399037, 0.00398334, 0.00405299, 0.00404407, 0.00506625, 0.00453913, 0.00359404, 0.00386944, 0.00397222, 0.00399868, 0.00446196, 0.00399396, 0.00425757, 0.00354805, 0.00367433, 0.00474156],"slopes":[-0.00121404, -0.00122364, -0.00122524, -0.00122207, -0.00121031, -0.00120943, -0.00121879, -0.00122094, -0.00120474, -0.00121688, -0.00121404, -0.0012168, -0.00122012, -0.00122708, -0.00121484, -0.0012087, -0.0012146, -0.00121905, -0.0012142, -0.00121227, -0.00118854, -0.00120511, -0.0012266, -0.00121829, -0.00121568, -0.00121357, -0.00121567, -0.0012219, -0.00121385, -0.0012296, -0.0012167, -0.00119407]}
[19-02-20 11:07:31]: {"step":16,"load_imbalance": 24.9116,"skewness": 0.740566,"loads": [0.00390567, 0.00399562, 0.00358633, 0.0038357, 0.00437742, 0.00423227, 0.00390104, 0.00379164, 0.00450945, 0.00400265, 0.00425188, 0.00406707, 0.00397656, 0.00345591, 0.00415457, 0.00418486, 0.00394027, 0.0039463, 0.00398064, 0.00399371, 0.00505304, 0.00449413, 0.00356956, 0.00383868, 0.00393508, 0.00397413, 0.00441968, 0.0039331, 0.00422821, 0.00353479, 0.00365455, 0.00472494],"slopes":[-0.00107974, -0.00109092, -0.00108936, -0.00108712, -0.0010758, -0.00107503, -0.00108413, -0.00108598, -0.00107113, -0.00108219, -0.00108251, -0.0010823, -0.00108754, -0.00109128, -0.00108052, -0.00107481, -0.00108018, -0.00108416, -0.00108042, -0.00107796, -0.00105589, -0.00107156, -0.00109077, -0.0010836, -0.00108069, -0.00107894, -0.00108346, -0.00108967, -0.00108191, -0.00109596, -0.00108191, -0.00106145]}
[19-02-20 11:07:31]: {"step":17,"load_imbalance": 24.7365,"skewness": 0.743676,"loads": [0.00393235, 0.00400155, 0.00358853, 0.00385698, 0.00438368, 0.0042523, 0.00393344, 0.00381397, 0.00451913, 0.00400823, 0.00427862, 0.0041173, 0.00398174, 0.00348166, 0.00417459, 0.0041852, 0.00394077, 0.00395995, 0.00401381, 0.00402766, 0.00507014, 0.00451766, 0.00358259, 0.00386517, 0.00393859, 0.00398618, 0.00443865, 0.0039582, 0.00425383, 0.00354598, 0.00368949, 0.0047718],"slopes":[-0.000966088, -0.000978533, -0.000974853, -0.000972969, -0.000962422, -0.000961501, -0.000970042, -0.000971831, -0.000958413, -0.000968587, -0.000970745, -0.000968049, -0.000975336, -0.000976375, -0.000966945, -0.000961985, -0.000966887, -0.00097024, -0.000967, -0.000964207, -0.000943984, -0.000958624, -0.000976083, -0.000969613, -0.000966939, -0.000965317, -0.000971341, -0.000977317, -0.000969899, -0.00098275, -0.000967727, -0.000948935]}
[19-02-20 11:07:31]: {"step":18,"load_imbalance": 24.918,"skewness": 0.733481,"loads": [0.00391188, 0.00398509, 0.00357261, 0.0038256, 0.00437251, 0.00424818, 0.00390632, 0.00379298, 0.00450911, 0.00398925, 0.00424861, 0.00409605, 0.00398491, 0.00347074, 0.00415034, 0.00416428, 0.00392192, 0.00394111, 0.00402269, 0.0040238, 0.00505455, 0.00451285, 0.00355713, 0.00384745, 0.00391677, 0.00397293, 0.00441014, 0.00392401, 0.00422669, 0.00352588, 0.00365192, 0.00474322],"slopes":[-0.000869804, -0.000882899, -0.00087775, -0.000876396, -0.000866249, -0.000865122, -0.000873492, -0.000875108, -0.000862753, -0.000872277, -0.000875891, -0.000871319, -0.000879569, -0.000878887, -0.000870767, -0.000866369, -0.000870825, -0.000873675, -0.000870407, -0.000867618, -0.000849221, -0.000862727, -0.000878984, -0.000872989, -0.000870595, -0.000868957, -0.000876201, -0.000882006, -0.000874833, -0.000886516, -0.00087131, -0.000853867]}
[19-02-20 11:07:31]: {"step":19,"load_imbalance": 24.5538,"skewness": 0.707052,"loads": [0.00397798, 0.00402223, 0.0035875, 0.00384799, 0.0044102, 0.00426487, 0.0039321, 0.00383232, 0.00452104, 0.00400288, 0.00428243, 0.004121, 0.00399784, 0.00348605, 0.00418228, 0.00420608, 0.00395817, 0.00398107, 0.00402792, 0.00402481, 0.00507307, 0.00451687, 0.00359034, 0.00388177, 0.00395493, 0.00398157, 0.00444948, 0.00396635, 0.00425978, 0.00357191, 0.00367048, 0.00475246],"slopes":[-0.000786285, -0.000800079, -0.000794252, -0.000793196, -0.000783266, -0.000782306, -0.000790301, -0.000791575, -0.000780563, -0.000789452, -0.000793787, -0.000788041, -0.000797046, -0.000795085, -0.000787799, -0.000783732, -0.000787878, -0.000790269, -0.000787523, -0.000784838, -0.000767784, -0.000780477, -0.000795209, -0.000789631, -0.00078742, -0.000786215, -0.000793806, -0.00079936, -0.000792601, -0.000803081, -0.000788351, -0.000772274]}
